label n m comparisons time compsConst timeConst
beg 1000 101 17 0 1.70584 0
mid 1000 101 17 0 1.70584 0
end 1000 101 17 0 1.70584 0
not 1000 101 20 0 2.00687 0
inA 1000 101 19 0 1.90652 0
ran 1000 102 20 0 2.00687 0
beg 1000 102 17 0 1.70584 0
mid 1000 102 19 0 1.90652 0
end 1000 102 17 0 1.70584 0
not 1000 102 20 0 2.00687 0
inA 1000 102 13 0 1.30446 0
ran 1000 103 20 0 2.00687 0
beg 1000 103 11 0 1.10378 0
mid 1000 103 17 0 1.70584 0
end 1000 103 19 0 1.90652 0
not 1000 103 20 0 2.00687 0
inA 1000 103 17 0 1.70584 0
ran 1000 104 19 0 1.90652 0
beg 1000 104 19 0 1.90652 0
mid 1000 104 11 0 1.10378 0
end 1000 104 13 0 1.30446 0
not 1000 104 20 0 2.00687 0
inA 1000 104 17 0 1.70584 0
ran 1000 105 19 0 1.90652 0
beg 1000 105 17 0 1.70584 0
mid 1000 105 17 0 1.70584 0
end 1000 105 19 0 1.90652 0
not 1000 105 20 0 2.00687 0
inA 1000 105 17 0 1.70584 0
ran 1000 106 17 0 1.70584 0
beg 1000 106 17 0 1.70584 0
mid 1000 106 17 0 1.70584 0
end 1000 106 19 0 1.90652 0
not 1000 106 20 0 2.00687 0
inA 1000 106 15 0 1.50515 0
ran 1000 107 20 0 2.00687 0
beg 1000 107 19 0 1.90652 0
mid 1000 107 19 0 1.90652 0
end 1000 107 19 0 1.90652 0
not 1000 107 20 0 2.00687 0
inA 1000 107 17 0 1.70584 0
ran 1000 108 20 1000 2.00687 100.343
beg 1000 108 17 0 1.70584 0
mid 1000 108 19 0 1.90652 0
end 1000 108 17 0 1.70584 0
not 1000 108 20 0 2.00687 0
inA 1000 108 17 0 1.70584 0
ran 1000 109 20 0 2.00687 0
beg 1000 109 15 0 1.50515 0
mid 1000 109 15 0 1.50515 0
end 1000 109 13 0 1.30446 0
not 1000 109 20 0 2.00687 0
inA 1000 109 15 0 1.50515 0
ran 1000 110 17 0 1.70584 0
beg 1000 110 13 0 1.30446 0
mid 1000 110 17 0 1.70584 0
end 1000 110 11 0 1.10378 0
not 1000 110 20 0 2.00687 0
inA 1000 110 13 0 1.30446 0
ran 1000 111 18 0 1.80618 0
beg 1000 111 17 0 1.70584 0
mid 1000 111 19 0 1.90652 0
end 1000 111 17 0 1.70584 0
not 1000 111 20 0 2.00687 0
inA 1000 111 15 0 1.50515 0
ran 1000 112 20 0 2.00687 0
beg 1000 112 19 0 1.90652 0
mid 1000 112 19 1000 1.90652 100.343
end 1000 112 17 0 1.70584 0
not 1000 112 18 0 1.80618 0
inA 1000 112 17 0 1.70584 0
ran 1000 113 19 0 1.90652 0
beg 1000 113 19 0 1.90652 0
mid 1000 113 17 0 1.70584 0
end 1000 113 19 0 1.90652 0
not 1000 113 20 0 2.00687 0
inA 1000 113 17 0 1.70584 0
ran 1000 114 20 0 2.00687 0
beg 1000 114 17 0 1.70584 0
mid 1000 114 13 0 1.30446 0
end 1000 114 17 1000 1.70584 100.343
not 1000 114 20 0 2.00687 0
inA 1000 114 15 0 1.50515 0
ran 1000 115 20 0 2.00687 0
beg 1000 115 17 0 1.70584 0
mid 1000 115 19 0 1.90652 0
end 1000 115 17 0 1.70584 0
not 1000 115 20 0 2.00687 0
inA 1000 115 19 0 1.90652 0
ran 1000 116 19 0 1.90652 0
beg 1000 116 15 1000 1.50515 100.343
mid 1000 116 15 0 1.50515 0
end 1000 116 15 0 1.50515 0
not 1000 116 20 0 2.00687 0
inA 1000 116 17 0 1.70584 0
ran 1000 117 20 0 2.00687 0
beg 1000 117 15 0 1.50515 0
mid 1000 117 15 0 1.50515 0
end 1000 117 15 0 1.50515 0
not 1000 117 20 0 2.00687 0
inA 1000 117 19 0 1.90652 0
ran 1000 118 17 0 1.70584 0
beg 1000 118 17 0 1.70584 0
mid 1000 118 15 1000 1.50515 100.343
end 1000 118 15 0 1.50515 0
not 1000 118 20 0 2.00687 0
inA 1000 118 17 0 1.70584 0
ran 1000 119 20 0 2.00687 0
beg 1000 119 15 0 1.50515 0
mid 1000 119 17 0 1.70584 0
end 1000 119 9 0 0.90309 0
not 1000 119 20 0 2.00687 0
inA 1000 119 15 0 1.50515 0
ran 1000 120 20 0 2.00687 0
beg 1000 120 13 0 1.30446 0
mid 1000 120 15 0 1.50515 0
end 1000 120 15 0 1.50515 0
not 1000 120 20 0 2.00687 0
inA 1000 120 17 0 1.70584 0
ran 1000 121 1 0 0.100343 0
beg 1000 121 15 0 1.50515 0
mid 1000 121 11 0 1.10378 0
end 1000 121 17 0 1.70584 0
not 1000 121 20 0 2.00687 0
inA 1000 121 19 0 1.90652 0
ran 1000 122 19 0 1.90652 0
beg 1000 122 13 0 1.30446 0
mid 1000 122 19 0 1.90652 0
end 1000 122 15 0 1.50515 0
